MIBiG name	MIBiG SMILES	MIBiG Inchikey	MIBiG BGC ID	NPAID	NPA name	Curated name	Curated SMILES	Curated Source Database ID	Curated doi	Curated origin	Notes
Avilamycin C	C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2[C@H](OC3(C[C@H]2O)O[C@@H]4[C@H](O[C@H](C[C@]4(O3)C)O[C@@H]5[C@H]([C@@H](O[C@@H]([C@@H]5OC)C)O[C@@H]6[C@H](O[C@H]([C@H]([C@H]6O)OC)O[C@H]7[C@@H]([C@H]8[C@H](CO7)O[C@@]9(O8)[C@H]1[C@H]([C@@]([C@H](O9)C)(C(C)O)O)OCO1)OC(=O)C(C)C)COC)O)C)C)O)OC(=O)C1=C(C(=C(C(=C1OC)Cl)O)Cl)C	AEIFATUAVHHRBC-GYPCSUJESA-N	BGC0000026						Buzzetti, F., Eisenberg, F., Grant, H.N., Keller-Schierlein, W., Voser, W. und Z’rihner, H. (1968) Experientia 24, 320. 	Streptomyces viridochromogenes	
ankaflavin	CCCCCCCC(=O)[C@@H]1[C@H]2CC3=C(COC(=C3)/C=C/C)C(=O)[C@@]2(OC1=O)C	AQTJNEHGKRUSLT-ODTNPMSZSA-N	BGC0000027	NPA005638	Ankaflavin						
monascin	CCCCCC(=O)[C@@H]1[C@H]2CC3=C(COC(=C3)/C=C/C)C(=O)[C@@]2(OC1=O)C	XXKNHBAFFJINCK-RVEJDSBJSA-N	BGC0000027	NPA009686	Monascin						
rubropunctatin	CCCCCC(=O)C1=C2C=C3C=C(OC=C3C(=O)[C@@]2(OC1=O)C)/C=C/C	SULYDLFVUNXAMP-WKOQKXSESA-N	BGC0000027	NPA017529	Rubropunctatine						
monascorubrin	CCCCCCCC(=O)C1=C2C=C3C=C(OC=C3C(=O)[C@@]2(OC1=O)C)/C=C/C	IIPVSGPTPPURBD-HAOIVFDCSA-N	BGC0000027	NPA002306	Monascorubrin						
Bafilomycin B1	C[C@@H]1C/C(=C\\C=C[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)C(C)C)C)O)O)O)OC)/C	XDHNQDDQEHDUTM-NIVQKVTJSA-N	BGC0000028	NPA002171	Bafilomycin B1						
BE-14106	CCC/C=C/CC1C/C=C\C=C(/C=C\C=C/C(C(/C=C(\C=C/C=C\C(=O)N1)/C)O)O)\C	ALYLZDHKQZUVDF-SFDMNNJASA-N	BGC0000029	NPA017806	BE-14106						
bikaverin	CC1=CC(=CC2=C1C(=O)C3=C(O2)C(=C4C(=C3O)C(=O)C=C(C4=O)OC)O)OC	ZOQMSOSJEWBMHP-UHFFFAOYSA-N	BGC0000030						10.1007/BF02880192	Gibberella fujikuroi	
Borrelidin	C[C@H]1C[C@H](C[C@@H]([C@H](/C(=C\\C=C\\C[C@H](OC(=O)C[C@@H]([C@H](C1)C)O)[C@@H]2CCC[C@H]2C(=O)O)/C#N)O)C)C	OJCKRNPLOZHAOU-UGKRXNSESA-N	BGC0000031	NPA011087	Borrelidin						
calcimycin	C[C@H]1CCC2([C@@H](C[C@H]([C@H](O2)C(C)C(=O)C3=CC=CN3)C)C)O[C@H]1CC4=NC5=C(O4)C=CC(=C5C(=O)O)NC	HIYAVKIYRIFSCZ-CVXKHCKVSA-N	BGC0000032	NPA003386	A23187						
calicheamicin	CCN[C@H]1CO[C@H](C[C@@H]1OC)O[C@@H]2[C@H]([C@@H]([C@H](OC2O[C@H]3C#C/C=C\C#C[C@]\4(CC(=O)C(=C3/C4=C\CSSSC)NC(=O)OC)O)C)NO[C@H]5C[C@@H]([C@@H]([C@H](O5)C)SC(=O)C6=C(C(=C(C(=C6OC)OC)O[C@H]7[C@@H]([C@@H]([C@H]([C@@H](O7)C)O)OC)O)I)C)O)O	HXCHCVDVKSCDHU-IXTZGUNISA-N	BGC0000033								Isolation reference hard to find
candicidin	CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(CC(C(C(CC(=O)CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(CC(=O)C2=CC=C(C=C2)N)O)O)O)O)O)C(=O)O)O)OC3C(C(C(C(O3)C)O)N)O	OPGSFDUODIJJGF-DVODSNNVSA-N	BGC0000034								Isolation reference hard to find
chalcomycin	C[C@@H]1C[C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](C[C@](C(=O)/C=C/[C@H]3[C@@H](O3)[C@@H]([C@H](OC(=O)/C=C/[C@@H]2C)C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC)(C)O)C)O)OC	KLGADJPDTCIJLO-FCNIXBKESA-N	BGC0000035	NPA004454	Chalcomycin A						
chlorothricin	C[C@@H](C(C(O)=O)=C1)C[C@@]2(C(O)=C(O3)C(O2)=O)[C@@H]1C=CCCCC[C@@H]4C=C[C@@]([C@@H](O[C@@H]5C[C@H](O)[C@@H](O[C@H]6O[C@@H](C)[C@H](O)[C@@H](OC(C7=C(C)C(Cl)=CC=C7OC)=O)C6)[C@@H](C)O5)CCC8)([H])[C@]8([H])[C@@H]4C3=O	HPWPAVYRWILWSZ-ACFKMXJHSA-N	BGC0000036								Isolation reference hard to find
deschlorothricin	C[C@@H](C(C(O)=O)=C1)C[C@@]2(C(O)=C(O3)C(O2)=O)[C@@H]1C=CCCCC[C@@H]4C=C[C@@]([C@@H](O[C@@H]5C[C@H](O)[C@@H](O[C@H]6O[C@@H](C)[C@H](O)[C@@H](OC(C7=C(C)C=CC=C7OC)=O)C6)[C@@H](C)O5)CCC8)([H])[C@]8([H])[C@@H]4C3=O	KJMSPBOLTGEOGL-DLPOPHBRSA-N	BGC0000036								Isolation reference hard to find
cichorine	CC1=C(C=C2C(=C1OC)CNC2=O)O	ICZVDXDXJQCDOJ-UHFFFAOYSA-N	BGC0000037								Isolation reference hard to find
coelimycin P1	C/C=C/C(=O)/C/1=C/C(=C\2/C=CCCN2)/SC[CH](C(=O)O1)NC(=O)C	RHGMVWUZXGSXCT-HXNNLKDLSA-N	BGC0000038						https://doi.org/10.1039/C2SC20410J	Streptomyces coelicolor M145	
compactin	CC[C@H](C)C(=O)O[C@H]1CCC=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O	AJLFOPYRIVGYMJ-INTXDZFKSA-N	BGC0000039	NPA018102	Compactin						
concanamycin A	CC[C@H]1[C@H]([C@@H](C/C(=C/C=C/[C@@H]([C@H](OC(=O)/C(=C/C(=C/[C@H]([C@H]1O)C)/C)/OC)[C@@H](C)[C@H]([C@H](C)[C@]2(C[C@H]([C@@H]([C@H](O2)/C=C/C)C)O)O)O)OC)/C)C)O	YNZXLMPHTZVKJN-VBKCWIKWSA-N	BGC0000040	NPA014456	Concanamycin A						
coronafacic acid	CC[C@@H]1C[C@H]2[C@H](CCC2=O)C(=C1)C(=O)O	ONMAUQRMJXNSCG-VGMNWLOBSA-N	BGC0000041	NPA013714	Oronofacic acid						
cremimycin	CCCCCCC1CC(=O)CCCC(CC(=O)C2=C(C(CC2/C=C(/C=C/C=C/C(=O)N1)\C)OC3CC(C(C(O3)C)O)OC)O)O	RUOAKWFUWPYANU-ZXGAWBIVSA-N	BGC0000042	NPA015915	Cremimycin						
curacin A	C[C@H]1CC1C2=N[C@@H](CS2)/C=C\CC/C=C/C=C(\C)/CC[C@H](CC=C)OC	LUEYTMPPCOCKBX-ODRFWBCESA-N	BGC0000043	NPA003438	Curacin A						
Dawenol	C(/C)=C/C(/C)=C/C=C/C(/C)=C/C=C/C(/C)=C/C(/C)=C/C(C)C(O)C(C)C(OC(C)=O)C	QNDXGUMAUNLGQV-HCTUXZFNSA-N	BGC0000044	NPA016469	Dawenol						
dehydrocurvularin	C[C@H]1CCC/C=C/C(=O)C2=C(C=C(C=C2CC(=O)O1)O)O	AVIRMQMUBGNCKS-RWCYGVJQSA-N	BGC0000045	NPA004907	Dehydrocurvularin						
depudecin	C[C@H]([C@H]1C(O1)/C=C/[C@H]2[C@@H](O2)[C@@H](C=C)O)O	DLVJMFOLJOOWFS-LMSNBXBHSA-N	BGC0000046	NPA001465	Depudecin						
dihydrochalcomycin			BGC0000047								Isolation reference hard to find
dothistromin	C1[C@@H](O[C@H]2[C@@]1(C3=C(O2)C=C4C(=C3O)C(=O)C5=C(C=CC(=C5C4=O)O)O)O)O	FBPGRTYADYGYRG-AHBCHLHISA-N	BGC0000048								Isolation reference hard to find
E-492	C\C=C(/C)C(O)C(C)\C=C\C=C\CCC(O)CC1=C(C)C(=O)C(O)(O1)C(C)O	DJGUIUUEMVFWLL-KDKVENLWSA-N	BGC0000049	NPA016270	E-492						
E-975	CC\C=C(/C)C(O)C(C)\C=C\C=C\CCC(O)CC1=C(C)C(=O)C(O)(O1)C(C)O	AUFZONTTXOTOPS-SLBXIAFJSA-N	BGC0000049	NPA013786	E-975						
E-837	C/C=C(\C)/C(C(C)/C=C/C=C(\C)/CCC(CC1=C(C(=O)C(O1)(C)O)C)O)O	OQJGVHFFWCZBBJ-BLBCACECSA-N	BGC0000050	NPA006280	E-837						
ebelactone A			BGC0000051			ebelactone A	CC[C@@H](C)[C@H]([C@H](C)C(=O)[C@H](C)/C=C(\C)/C[C@H](C)[C@H]1[C@@H](C(=O)O1)C)O	6436820	https://doi.org/10.7164/antibiotics.35.1495	Streptomyces sp. MG7-G1	
ebelactone B			BGC0000051			ebelactone B	CC[C@H]1[C@@H](OC1=O)[C@@H](C)C/C(=C/[C@@H](C)C(=O)[C@@H](C)[C@@H]([C@H](C)CC)O)/C	6436821	https://doi.org/10.7164/antibiotics.35.1495	Streptomyces sp. MG7-G1	
ECO-02301	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC(C/C=C/C=C/C=C/C=C/C=C/C(C(C)C(C(C)/C=C/CC/C=C/C=C/C=C/C=C/C(=O)NC2=C(CCC2=O)O)O)O)C(C)C(=O)CC(CC(CC(/C=C/CC(CC(CC(CC(/C=C/CC(CC(CCCN)O)O)O)O)O)O)O)O)O)O)O)O	NLVFTSADLUSKGV-TUEZCROESA-N	BGC0000052	NPA003626	ECO-02301						
elaiophylin	CC[C@H]1[C@@H](C[C@](O[C@@H]1C)(O)[C@H]([C@H](O)[C@@H]([C@H]2OC(=O)/C=C/C=C/[C@@H]([C@H](OC(=O)/C=C/C=C/[C@@H]2C)[C@H]([C@@H](O)[C@@H]([C@@]3(O[C@@H]([C@H]([C@@H](C3)O[C@@H]4O[C@H]([C@H]([C@H](C4)O)O)C)CC)C)O)C)C)C)C)C)O[C@@H]5O[C@H]([C@H]([C@H](C5)O)O)C	OSERMIPXNLXAPD-MJMYBOKFSA-N	BGC0000053								Isolation reference hard to find
Erythromycin A	CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O	ULGZDMOVFRHVEP-RWJQBGPGSA-N	BGC0000054								Isolation reference hard to find
Erythromycin A	CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O	ULGZDMOVFRHVEP-RWJQBGPGSA-N	BGC0000055								Isolation reference hard to find
Erythromycin B	CC[C@@H]1[C@@H]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H](C([C@@H]([C@H](C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)C	IDRYSCOQVVUBIJ-ZTOAHLHUSA-N	BGC0000055	NPA015585	Erythromycin B						
Erythromycin C	CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)OC2C[C@@]([C@H]([C@@H](O2)C)O)(C)O)C)OC3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O	MWFRKHPRXPSWNT-FAIBCODDSA-N	BGC0000055	NPA009987	Erythromycin C						
Erythromycin D	CC[C@@H]1[C@@H]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)O)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)C	CLQUUOKNEOQBSW-KEGKUKQHSA-N	BGC0000055								Isolation reference hard to find
esperamicin	CC1C(C(C(C(O1)OC2C#C/C=C/C#CC\3(C(C(=O)C(=C2/C3=C/CSSSC)NC(=O)OC)OC4CC(C(C(O4)C)O)OC(=O)C5=CC(=C(C=C5NC(=O)C(=C)OC)OC)OC)O)OC6CC(C(CO6)NC(C)C)OC)O)NOC7CC(C(C(O7)C)SC)O	LJQQFQHBKUKHIS-YQVLDDCJSA-N	BGC0000056								There are other BGCs in this article
F9775A	CC1=CC2=C(C(=C1)O)OC3=C(O2)C4(C5C(=CC(=O)C5(C(=O)C4=C(C3=O)O)O)C)C	KEHZWGZVOZXIKE-UHFFFAOYSA-N	BGC0000057						Novel pentacyclic compounds, F-9775A and F-9775B, their manufacture with Paecilomyces carneus, and their use for treatment of osteoporosis. S Sato, T Morishita, T Hosoya, Y Ishikawa - Japanese patent JP11001480, 1999	Paecilomyces carneus	
F9775B	CC1=CC2=C(C(=C1)O)OC3=C(O2)C(=O)C(=C4C3(C5C(=CC(=O)C5(C4=O)O)C)C)O	ZFYMCYAXXOXUHT-UHFFFAOYSA-N	BGC0000057						Novel pentacyclic compounds, F-9775A and F-9775B, their manufacture with Paecilomyces carneus, and their use for treatment of osteoporosis. S Sato, T Morishita, T Hosoya, Y Ishikawa - Japanese patent JP11001480, 1999	Paecilomyces carneus	
Orsellinic acid	CC1=CC(=CC(=C1C(=O)O)O)O	AMKYESDOVDKZKV-UHFFFAOYSA-N	BGC0000057								Isolation reference hard to find
FD-891	C[C@@H]1/C=C(\C=C(/C(=O)O[C@@H](C/C=C\C=C/CC(C2[C@H]([C@H]1O)O2)O)C(C)CC[C@@H]([C@@H](C)[C@H]([C@H](C)[C@H](C)OC)O)O)\C)/C	VOLRALTUADVHPT-QOKPVGNQSA-N	BGC0000058	NPA007258	FD-891						
filipin	CCCCC[C@H]([C@@H]1[C@H](C[C@H](C[C@H](C[C@H](C[C@H](C[C@H](C[C@@H](/C(=C/C=C/C=C/C=C/C=C/[C@@H]([C@H](OC1=O)C)O)/C)O)O)O)O)O)O)O)O	IMQSIXYSKPIGPD-YQRUMEKGSA-N	BGC0000059								Isolation reference hard to find
fostriecin	C[C@@](/C=C/[C@@H]1CC=CC(=O)O1)([C@@H](C[C@H](/C=C\C=C/C=C/CO)O)OP(=O)(O)O)O	ZMQRJWIYMXZORG-GZIFKOAOSA-N	BGC0000060								Isolation reference hard to find
FR-008			BGC0000061								Isolation reference hard to find
fumonisin	CCCCC(C)C(C(CC(C)CC(CCCCC(CC(C(C)N)O)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O	UVBUBMSSQKOIBE-UHFFFAOYSA-N	BGC0000062	NPA012054	Fumonisin B1						
fusarin	C/C=C(/C)\C=C(/C)\C=C(/C)\C=C\C=C(/C)\C(=O)[C@@]12[C@@H](O1)[C@](NC2=O)(CCO)O	RCJADKVBRBVIEX-YAMKEULKSA-N	BGC0000064								Isolation reference hard to find
galbonolide A	CC[C@H]1/C(=C/C(=C)C[C@@H](/C=C(/CC(C(=O)[C@H](C(=O)O1)C)(CO)O)\OC)C)/C	WOFFENQLRMDHKE-CJAJMRFHSA-N	BGC0000065	NPA017893	Rustmicin						
geldanamycin	C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)/C)OC)OC(=O)N)\C)C)O)OC	QTQAWLPCGQOSGP-KSRBKZBZSA-N	BGC0000066	NPA019914	Geldanamycin						
gephyronic acid			BGC0000069	NPA001724	Gephyronic acid						
griseofulvin	C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC	DDUHZTYCFQRHIY-RBHXEPJQSA-N	BGC0000070	NPA002483	Griseofulvin						
dechlorogriseofulvin	C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(C=C(C=C3O2)OC)OC)OC	QPCYNIYZPDJCMB-XLFHBGCDSA-N	BGC0000070	NPA019749	Epidechlorogriseofulvin						
norlichexanthone	CC1=CC(=CC2=C1C(=O)C3=C(C=C(C=C3O2)O)O)O	AQZHBCDRWFMXIN-UHFFFAOYSA-N	BGC0000070								Isolation reference hard to find
dehydrogriseofulvin	CC1=CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC	ISLYVROQSJYFAZ-KRWDZBQOSA-N	BGC0000070								Isolation reference hard to find
4-desmethylgriseofulvin	C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3O)OC)Cl)OC	KTICLSBYPHKDMM-QZTNRIJFSA-N	BGC0000070								Isolation reference hard to find
Griseoxanthone B	CC1=CC(=CC2=C1C(=O)C3=C(O2)C(=C(C=C3O)OC)C)O	DZTPHWBIDKFBTR-UHFFFAOYSA-N	BGC0000070								Isolation reference hard to find
gulmirecin A	C/C([C@@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@@H]1O)[C@H](OC(CC(C)C)=O)C(C[C@@H](O)[C@@H]2C)=O)=C\\C[C@H](/C(C)=C\\C)OC2=O	BJWRCLLKJSLIRN-REPOSEJJSA-N	BGC0000072	NPA000955	Gulmirecin A						
halstoctacosanolide	CCC(C(C)C(CC(C(/C=C(\C)/CC(C)C1CC(C(/C=C/C=C/CC(C(=O)CC2CCC(C(O2)(C/C=C(\C=C(\C(C(=O)/C=C(/C(=O)O1)\C)O)/C)/C)O)C)C)C)O)O)O)O)O	GQHNSYURZJAIPC-IFGCVEQJSA-N	BGC0000073	NPA016676	Halstoctacosanolide A						
herbimycin	C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C/C=C(/C(=O)NC2=CC(=O)C=C([C@@H]1OC)C2=O)\C)OC)OC(=O)N)\C)C)OC)OC	MCAHMSDENAOJFZ-GDYSMBPZSA-N	BGC0000074	NPA003301	Herbimycin A						
hygrocin A	CCC\1CCC(=O)C2=C3C(=CC(=C2O)C)C(=O)C(=CC3=O)NC(=O)C/C=C(\C(=O)O[C@H]([C@H](/C=C1)O)C)/C	ZLKHATAJGWAFJX-TWLLYOFVSA-N	BGC0000075	NPA004945	Hygrocin A						
hygrocin B	CCC\1CCC(=O)C2=C3C(=CC(=C2O)C)C(=O)C4=C(C3=O)[C@](C=CC(=O)N4)(C(=O)O[C@H]([C@H](/C=C1)O)C)C	YCXQGZJYZGFQSB-AMMLVUSNSA-N	BGC0000075	NPA011351	Hygrocin B						
hypothemycin	CC1C/C=C\C(=O)C2C(O2)CC([C@H](C3=CC(=CC(=C3C(=O)O1)O)OC)O)O	HDZUUVQEDFZKAX-JOLUUEAESA-N	BGC0000076						https://doi.org/10.1016/S0040-4039(00)71472-9	Hypomyces trichothecoides	
incednine			BGC0000078	NPA014992	Incednine						
