BGC0001186	misakinolide	6441172	
BGC0000549	salivaricin D	smiles	[H]N[C@@H](CC1=CC=CC=C1)C(N/C(C(N[C@@H]2C(N[C@@H](CC3=CN=CN3)C(NC(C(N[C@H](C(N[C@@H](CSC2)C(N[C@@H]4C(N5CCC[C@H]5C(NCC(N[C@@H](CSCC4)C(N[C@]([C@@H](C)CC)([H])C(N[C@@H]6C(NCC(N[C@H](C(N[C@H](C(N[C@@H](CCSC)C(NCC(N[C@@H](CSCC6)C(N[C@@H](CC7=CN=CN7)C(N[C@]([C@@H](C)CC)([H])C(N[C@H](C(N[C@@H]8C(N[C@]([C@@H](C)CC)([H])C(NCC(N[C@@H](CSC8)C(N[C@H](C(N[C@H](C(N[C@@H](CC9=CN=CN9)C(N[C@]([C@@H](C)CC)([H])C(N[C@H](C(N[C@]([H])(C(NC(C(N[C@H](C(O)=O)CCCCN)=O)=C)=O)[C@H](CC)C)=O)CC%10=CN=CN%10)=O)=O)=O)C(C)C)=O)CC(N)=O)=O)=O)=O)=O)=O)CCC(N)=O)=O)=O)=O)=O)=O)=O)CC(C)C)=O)C(C)C)=O)=O)=O)=O)=O)=O)=O)=O)=O)CC(C)C)=O)=C)=O)=O)=O)=C\C)=O
BGC0000483	Aeruginosamide C	smiles	CC(C)(C=C)N[C@H](C(N[C@H](C(N1CCC[C@H]1C(N[C@@H](C2=NC(C(OC)=O)=CS2)C(C)C)=O)=O)CC3=CC=CC=C3)=O)CC4=CC=CC=C4
BGC0001612	ambiguine	smiles	[H][C@@]12CC[C@@](C)([C@H]([C@]1(C3=C(C(C)(C=C)C)NC4=CC=CC(C2(C)C)=C34)[H])[N+]#[C-])C=C
BGC0001600	fusarielin H	smiles	C/C=C([C@H]1[C@@H](/C=C/C=C([C@@H](O)[C@H](CO)C)\C)[C@]2([H])CC=C(C)C[C@@]2([H])[C@H]3[C@]1(C)O3)\C
BGC0001614	hassallidin E	smiles	C/C=C1NC(C(NC(C(NC(C(C(OC(C(NC(C(N(C(CNC(C(NC\1=O)CCC(N)=O)=O)=O)C)C(OC2OC(C(C(C2O)O)O)CO)C)=O)CCC(N)=O)=O)C)NC(C(C(O)C)NC(C(C(CCCCCCCCCCCCC)O)O)=O)=O)=O)C(O)C)=O)Cc3ccc(O)cc3)=O
BGC0001559	crocagin B	smiles	CN[C@@H]([C@@H](CC)C)C(NC(C(N([C@@]1([H])N2c3ccccc3[C@@]41[H])[C@@H]([C@H]4OC(N)=O)C(O)=O)=O)=C2c5ccc(O)cc5)=O
BGC0001197	frankiamicin	smiles	O=C1C2=C(C(O)=C(CC(O)C3=C4C(O)=C(C(O)=O)C(C)=C3)C4=C2)C(C5=C1C=C(O)C=C5O)=O
BGC0001587	ethylenediaminesuccinic acid hydroxyarginine (EDHA)	smiles	N=C(N)NCC(O)CC(C(O)=O)NCCNC(CC(O)=O)C(O)=O
BGC0000420	histidyltryptophanyldiketopiperazine	smiles	O=C(C(N1)CC2=CNC3=CC=CC=C32)NC(CC4=CNC=N4)C1=O
BGC0000429	Skyllamycin A	smiles	C/C=C\C1=C(C=CC=C1)/C=C/C(N[C@H](C(N[C@H]2C)=O)[C@H](OC([C@@H]([C@H](C(C)C)O)NC([C@@H](CC(C)C)NC(C(O)NC([C@H](NC([C@H]([C@@H](O)C3=CC=C(C=C3)OC)NC([C@@H]4CCCN4C([C@H]([C@@H](O)C5=CC=CC=C5)NC(CNC([C@@H](NC2=O)[C@@H](C(O)=O)C)=O)=O)=O)=O)=O)CC6=CNC7=C6C=CC=C7)=O)=O)=O)=O)C)=O
BGC0000429	Skyllamycin B	smiles	C/C=C\C1=C(C=CC=C1)/C=C/C(N[C@H](C(N[C@H]2C)=O)[C@H](OC([C@@H]([C@H](C(C)C)O)NC([C@@H](CC(C)C)NC(C(O)NC([C@H](NC([C@H]([C@@H](O)C3=CC=C(C=C3)OC)NC([C@@H]4CCCN4C([C@H]([C@@H](O)C5=CC=CC=C5)NC(CNC([C@@H](NC2=O)CC(O)=O)=O)=O)=O)=O)=O)CC6=CNC7=C6C=CC=C7)=O)=O)=O)=O)C)=O
BGC0000443	thanamycin	smiles	CCCCCCCCCCCCC(O)C(O)CC(NC1COC(C(C(O)CCl)NC(C(C(O)C(O)=O)NC(/C(NC(C(C(O)C)CC(C(CC2=CNC=N2)NC(C(CCO)NC(C(CC(O)=O)NC(C(CCCN)(O)NC1=O)=O)=O)=O)=O)=O)=C\C)=O)=O)=O)=O
