property	original_value	final_value	found_in
	beta-lactone	 	BGC0001440,BGC0001441
	beta-methylation	 	BGC0000182
	bromophenol	 	BGC0000890
	carbamoyl group	 	BGC0000834
	chlorine	 	BGC0001083,BGC0001079
	citric acid	 	BGC0000944
	cyclitol	 	BGC0001038
	cyclohexenone	 	BGC0000150
	cyclohexylcarbonyl group	 	BGC0000187
	cyclopropyl ring	 	BGC0000976,BGC0001165
	dehydro amino acids	 	BGC0000526
	dialkylmaleic anhydride	 	BGC0000158,BGC0000159
	diazo group	 	BGC0000240
	dioxane	 	BGC0000195
	ent-Kaurene	 	BGC0001140
	ent-atiserene	 	BGC0001140
	epoxide ring	 	BGC0000182
	epoxyketone	 	BGC0000346,BGC0000345
	epoxyspiroketal	 	BGC0000230
	ester bond	 	BGC0000182
	farnesyl-3-phosphoglycerate	 	BGC0000805
	forosamine	 	BGC0000201
	guanidino	 	BGC0000978
	hydroxide	 	BGC0000978
	hydroxyaspartate	 	BGC0000503
	indole-phenolic scytonemin skeleton	 	BGC0000824
	indolocarbazole	 	BGC0000821
	isocoumarin group	 	BGC0001110
	lanthionine, dehydroalanine	 	BGC0000551
	lysinoalanine	 	BGC0000503
	maleic anhydride	 	BGC0001436
	naphthonate	 	BGC0000112
	para-nitrobenzoate	 	BGC0000024
	paracyclophane ring	 	BGC0001064
	phenazine	 	BGC0000935
	phenazine-1-carboxylic acid	 	BGC0001221,BGC0001080
	phosphate	 	BGC0000967
	phosphino-group	 	BGC0000406
	polythiazole	 	BGC0001469
	pseudouridine, aminopseudouridine	 	BGC0001476
	pyran ring	 	BGC0000182
	pyrophosphate	 	BGC0000967
	pyrrolidone	 	BGC0001231
	pyrrolizine bicycle	 	BGC0001172
	pyrroloquinoline	 	BGC0001006
	pyrrolquinoline	 	BGC0001006
	salicylic acid	 	BGC0000921,BGC0000269
	spiroacetal	 	BGC0000967
	sulfate	 	BGC0000978
	terminal nitrile	 	BGC0000967
	terminal olefin	 	BGC0000976
	thiazole, pyridine, oxazoline	 	BGC0001155
	thioamide	 	BGC0001471,BGC0001474,BGC0001473
	tropolone	 	BGC0000154
	uncommon benzyl starter unit	 	BGC0001212
	ureido linkage	 	BGC0000302
	β-lactone	 	BGC0001437
properties.general_params.properties.compounds.items.properties.mass_ion_type.enum	M+H+	 	BGC0000399,BGC0000582
	M+Na+	 	BGC0000424
	Molecular ion	 	BGC0000593,BGC0001172,BGC0000398,BGC0000399,BGC0000592,BGC0000583
	[M+H-H2O]+	 	BGC0001231,BGC0001019
properties.general_params.properties.genes.properties.gene.items.properties.evidence_genefunction.items.enum	Resistance/immunity	 	BGC0000240
properties.general_params.properties.genes.properties.gene.items.properties.tailoring.enum	Dehydrogenation	 	BGC0000194
	FADH2 supply for chlorination	 	BGC0000529
properties.general_params.properties.nrp.properties.nrps_genes.items.properties.nrps_module.items.properties.a_substr_spec.properties.nonprot_adom_spec.enum	(2S,3R)-2-amino-3-hydroxy-4-(4-nitrophenyl)butanoate	 	BGC0001437
	(2S,3S)-2,3-Diaminobutyric acid	 	BGC0000950
	(3-Ncp)Ala	 	BGC0000374
	(4-Pe)Pro	 	BGC0000374
	(4S)-5,5,5-trichloroleucine	 	BGC0000962
	(Phenylalanine, Tryptophane),(Valine, Isoleucine)	 	BGC0000357
	(R)-bTyr	 	BGC0000969
	(beta-Me)Phe	 	BGC0000374
	2,3-Diamino-3-methylpropanoic acid	 	BGC0001448
	2-Amino-3,5-dimethyl-4-hexenoic Acid	 	BGC0000333
	2-amino-9,10-epoxi-8-oxodecanoic acid	 	BGC0001166
	2-carboxy-6-hydroxy-octahydroindole	 	BGC0000297
	2-carboxy-6-hydroxyoctahydroindole	 	BGC0000298
	2-oxo-isovaleric acid	 	BGC0001000
	3,4-hydroxyhomotyrosine	 	BGC0001035
	3,5-Dihydroxyphenylglycine	 	BGC0000440,BGC0000419,BGC0000289
	3-Methylproline	 	BGC0001449,BGC0001448
	3-hydroxy-4-O-methyl-5-methyl-tyrosine	 	BGC0000350
	3-hydroxy-4-methylproline	 	BGC0001035
	3-hydroxyglutamine	 	BGC0001035
	3-hydroxypicolinic acid	 	BGC0000459
	3-methylaspartic acid	 	BGC0001448
	4,5-dihydroxyornithine	 	BGC0001035
	4-Chlorothreonine	 	BGC0000443
	4-Methylproline	 	BGC0000338,BGC0000819
	4-acetamidopyrrole-2-carboxylate	 	BGC0001147
	Alanine	 	BGC0001016,BGC0000370
	Anthranilate	 	BGC0000355
	Argininal	 	BGC0000430
	Arginine	 	BGC0001016
	Arginine / Lysine	 	BGC0000302
	Asparigine	 	BGC0000972,BGC0000963,BGC0001048,BGC0001028,BGC0001152,BGC0001058
	Asparigine or (2S, 3S)-3-hydroxyasparagine	 	BGC0000315
	Aspartate / N-methylaspartate	 	BGC0001016
	B-OH-cyc-hex-ala	 	BGC0000971
	Beta-hydroxyasparagine	 	BGC0001328,BGC0001327
	Beta-methoxyaspartate	 	BGC0000429
	Beta-methylleucine	 	BGC0000459
	Coumaric acid	 	BGC0000314
	Cysteic acid	 	BGC0000431
	Cysteine	 	BGC0001101
	D-Alanine	 	BGC0001166
	D-N2-methylasparagine	 	BGC0001017
	D-alanine	 	BGC0001101,BGC0000186,BGC0001152,BGC0000370
	D-allothreonine	 	BGC0000425
	D-glutamine	 	BGC0000425
	D-leucine	 	BGC0000429,BGC0000425
	D-lysine	 	BGC0001479
	D-proline	 	BGC0000425
	D-serine	 	BGC0000425
	D-tryptophan	 	BGC0000429
	D-valine	 	BGC0000425
	DAFFLGVTFK	 	BGC0001029
	DAWLFGLIDK	 	BGC0001029
	DAWTIAAVCK	 	BGC0001029
	DILALGLIWK	 	BGC0001029
	DVQFIAHVVK	 	BGC0001029
	Didehydroaminobutyric acid	 	BGC0000443
	Dihydroxy hexadecanoic acid	 	BGC0000369
	Glutamate or (2S, 3R)-3-methylglutamate	 	BGC0000315
	Glutamine	 	BGC0000369,BGC0001016
	Glutamine / Tyrosine	 	BGC0000369
	Glycine	 	BGC0000369
	Glycolic acid	 	BGC0000350
	Homophenylalanine	 	BGC0001479
	Hydrocinnamate	 	BGC0001016
	Hydroxyaspartate	 	BGC0000443
	Hydroxyphenylglycine	 	BGC0000440,BGC0000419,BGC0001230,BGC0000289
	Indole pyruvic acid	 	BGC0000442
	Isoleucine; Valine	 	BGC0000463
	L-2,4-Diaminobutyric acid	 	BGC0001153
	Leucine / Arginine	 	BGC0001016
	Lysine	 	BGC0000302
	N-methyl-threonine	 	BGC0000369
	N-methylglycine	 	BGC0001479
	N5-hydroxy-N5-formylornitine	 	BGC0000386
	Norcoronamic acid	 	BGC0001228
	Phenylacetate	 	BGC0001017
	Phenylalanine	 	BGC0000302
	Phenylalanine, Tyrosine	 	BGC0000357
	Proline	 	BGC0000430,BGC0000370
	Proprionate	 	BGC0001102
	Pyruvate	 	BGC0000958
	Sarcosine	 	BGC0000459
	Serine	 	BGC0001016
	Threonine	 	BGC0000369
	Tyrosine	 	BGC0000369,BGC0000302
	VGVWVAASGK	 	BGC0001029
	Valine	 	BGC0000302
	Valine, isoleucine	 	BGC0000357
	alpha-ketoisocaproic acid	 	BGC0000320,BGC0000975
	alpha-ketoisovaleric acid	 	BGC0000320
	bLys	 	BGC0000393
	bOH-Val	 	BGC0000393
	dhb	 	BGC0001185
	glycocyamine	 	BGC0001147
	guanidinoacetate	 	BGC0000978
	m-Tyrosine	 	BGC0000950
	methyl beta-alanine	 	BGC0000975
	tyrosine	 	BGC0000975
properties.general_params.properties.nrp.properties.nrps_genes.items.properties.nrps_module.items.properties.nrps_mod_doms.enum	Amination	 	BGC0001090
	Aminotransferase	 	BGC0001016
	Cyclase	 	BGC0000973
	Epimerization	 	BGC0001469
	Heterocyclization	 	BGC0001469
	Hydroxylation	 	BGC0000424
	Keto reductase	 	BGC0000298
	beta-hydroxylation	 	BGC0000386
	dehydration	 	BGC0000447
properties.general_params.properties.polyketide.properties.mod_pks_genes.items.properties.pks_module.items.properties.at_substr_spec.enum	4-hydroxyphenylpyruvate	 	BGC0000430
	Decanoyl-CoA	 	BGC0001064
	Various atypical acyl-CoAs	 	BGC0000958
	phenylacetate-like	 	BGC0000975
properties.general_params.properties.polyketide.properties.mod_pks_genes.items.properties.pks_module.items.properties.evidence_at_spec.enum	Feeding study	 	BGC0001443
properties.general_params.properties.polyketide.properties.mod_pks_genes.items.properties.pks_module.items.properties.pks_mod_doms.items.enum	2x Crotonase / Enoyl-CoA dehydratase	 	BGC0001105
	GNAT	 	BGC0001105
	Hydroxylation	 	BGC0001120
	Oxidation	 	BGC0001165,BGC0000967
properties.general_params.properties.polyketide.properties.starter_unit.enum	4-hydroxyphenylpyruvate	 	BGC0000430
	methylmalonate-CoA	 	BGC0000151
properties.general_params.properties.saccharide.properties.gt_genes.items.properties.gt_specificity.enum	D-olivose	 	BGC0000276,BGC0001072,BGC0000210,BGC0000247,BGC0000269
	D-olivose and D-mycarose	 	BGC0000247
	L-Rhodinose	 	BGC0000267
	L-amicetose	 	BGC0000654
	L-forosamine	 	BGC0000198
	L-mycarose	 	BGC0000055
	L-rhodosamine	 	BGC0000250
	chinovosamine AND N-acetyl-D-glucosamine	 	BGC0000805
	eurekanate	 	BGC0000026
	mycaminose	 	BGC0000151
	mycoamine	 	BGC0000115
